mergesort,100,101800,4,618,1
quicksort,100,100800,4,579,0
select,100,94900,6,617,0
closest,100,8320700,7,123,0
mergesort,1000,656500,7,10306,1
quicksort,1000,714100,6,10559,0
select,1000,536900,9,6368,0
closest,1000,9339000,10,1088,0
mergesort,5000,1377100,10,58464,1
quicksort,5000,814000,8,71295,0
select,5000,1060200,12,30991,0
closest,5000,12446900,12,6336,0
mergesort,10000,2907600,11,127307,1
quicksort,10000,874600,8,164483,0
select,10000,4449100,14,57928,0
closest,10000,22285000,13,12843,0
